Suburb,Rooms,Type,Price,SellerG,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold
Abbotsford,2,h,1480000.0,Biggin,2.5,2.0,1.0,1.0,202.0,125.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,48.0,2016,3,12,5
Abbotsford,2,h,1035000.0,Biggin,2.5,2.0,1.0,0.0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,118.0,2016,4,2,5
Abbotsford,3,h,1465000.0,Biggin,2.5,3.0,2.0,0.0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,118.0,2017,4,3,0
Abbotsford,3,h,850000.0,Biggin,2.5,3.0,2.0,1.0,94.0,125.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,48.0,2017,4,3,0
Abbotsford,4,h,1600000.0,Nelson,2.5,3.0,1.0,2.0,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,4.0,2016,4,6,2
Abbotsford,2,h,941000.0,Jellis,2.5,2.0,1.0,0.0,181.0,125.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,48.0,2016,7,5,1
Abbotsford,3,h,1876000.0,Nelson,2.5,4.0,2.0,0.0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,108.0,2016,7,5,1
Abbotsford,2,h,1636000.0,Nelson,2.5,2.0,1.0,2.0,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,128.0,2016,8,10,2
Abbotsford,1,u,300000.0,Biggin,2.5,1.0,1.0,1.0,0.0,125.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,48.0,2016,8,10,2
Abbotsford,2,h,1097000.0,Biggin,2.5,3.0,1.0,2.0,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,118.0,2016,8,10,2
Abbotsford,2,u,700000.0,Jellis,2.5,2.0,2.0,1.0,0.0,125.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,48.0,2016,12,11,6
Abbotsford,3,h,1350000.0,Nelson,2.5,3.0,2.0,2.0,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,13.0,2016,12,11,6
Abbotsford,2,u,750000.0,Biggin,2.5,2.0,2.0,1.0,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,9.0,2016,12,11,6
Abbotsford,2,h,1172500.0,Biggin,2.5,2.0,1.0,1.0,195.0,125.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,48.0,2016,8,13,5
