Suburb_0,Suburb_1,Suburb_2,Suburb_3,Suburb_4,Suburb_5,Suburb_6,Suburb_7,Suburb_8,Rooms,Price,SellerG_0,SellerG_1,SellerG_2,SellerG_3,SellerG_4,SellerG_5,SellerG_6,SellerG_7,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea_0,CouncilArea_1,CouncilArea_2,CouncilArea_3,CouncilArea_4,Lattitude,Longtitude,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan
0,0,0,1,0,1,1,0,0,2,650000.0,0,0,0,0,0,0,1,0,1.6,2.0,1.0,1.0,0.0,125.0,0,0,0,0,1,-37.799,144.9756,5825.0,48.0,2016,6,18,5,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,1,0,1,1,1,300000.0,0,0,0,0,1,0,0,0,5.1,1.0,1.0,1.0,705.0,125.0,0,0,1,1,0,-37.8556,144.9977,4380.0,48.0,2016,11,19,5,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,3,1224000.0,0,0,0,1,0,1,0,1,14.6,3.0,1.0,3.0,834.0,143.0,1,0,0,0,1,-37.9376,145.0474,2555.0,58.0,2016,3,9,2,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,1,2,577000.0,0,0,1,0,1,0,1,0,8.5,2.0,1.0,0.0,0.0,125.0,0,1,0,0,1,-37.8889,145.0043,4898.0,48.0,2016,5,28,5,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0,4,2625000.0,0,0,0,0,1,0,0,1,5.6,4.0,2.0,2.0,717.0,225.0,0,0,1,1,1,-37.8083,145.0418,10331.0,128.0,2017,3,18,5,1,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,1,1,0,3,670000.0,0,1,0,1,0,0,0,1,12.4,3.0,1.0,3.0,587.0,136.0,0,1,1,0,1,-37.7007,144.9632,5070.0,48.0,2016,3,12,5,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,1,1,460000.0,0,0,0,1,0,0,1,1,2.1,1.0,1.0,1.0,0.0,42.0,0,0,0,1,1,-37.8344,144.9581,5943.0,48.0,2017,8,4,4,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,1,3,1390000.0,0,1,0,1,0,0,1,1,11.2,3.0,1.0,2.0,340.0,137.0,0,1,1,0,0,-37.9205,145.0007,10579.0,43.0,2017,4,3,0,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,1,280000.0,0,1,1,1,1,0,0,0,8.0,1.0,1.0,1.0,0.0,49.0,0,0,0,1,0,-37.7475,144.9194,9264.0,58.0,2016,4,16,5,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,1,0,1,1,407000.0,0,0,1,0,1,0,1,1,11.2,1.0,1.0,1.0,108.0,125.0,0,0,1,0,0,-37.7196,145.0092,21650.0,48.0,2017,5,20,5,0,0,1,0,0,1,0,0,0,0
