Suburb_0,Suburb_1,Suburb_2,Suburb_3,Suburb_4,Suburb_5,Suburb_6,Suburb_7,Suburb_8,Rooms,SellerG_0,SellerG_1,SellerG_2,SellerG_3,SellerG_4,SellerG_5,SellerG_6,SellerG_7,SellerG_8,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea_0,CouncilArea_1,CouncilArea_2,CouncilArea_3,CouncilArea_4,CouncilArea_5,Lattitude,Longtitude,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,13.9,3.0,2.0,2.0,327.0,126.0,0,0,1,0,0,1,-37.9195,145.0555,10969.0,48.0,2017,3,18,5,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1,1,3,0,0,0,1,0,1,0,1,1,21.5,3.0,1.0,2.0,292.0,91.0,0,0,1,1,0,1,-38.01908,145.09702,2824.0,63.0,2017,9,9,5,1,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,1,1,1,3,0,0,0,0,1,0,1,0,1,20.0,3.0,1.0,2.0,309.0,126.0,0,1,0,0,0,1,-37.98009,145.06118,6162.0,48.0,2017,5,27,5,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,1,0,0,3,0,1,0,1,1,1,1,0,0,31.6,3.0,1.0,4.0,2385.0,127.0,0,1,1,1,0,1,-37.79977,145.37222,3532.0,88.0,2017,6,24,5,1,0,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,1,1,0,0,11.2,2.0,1.0,1.0,0.0,126.0,0,0,0,1,0,0,-37.7093,145.0083,21650.0,48.0,2017,6,5,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,8.9,3.0,2.0,2.0,146.0,141.0,0,0,0,1,0,1,-37.857,144.8846,802.0,17.0,2017,5,13,5,0,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,6.5,3.0,2.0,2.0,644.0,149.0,0,0,0,1,0,0,-37.7604,145.02100000000004,8870.0,17.0,2016,11,27,6,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6.7,1.0,1.0,1.0,103.0,126.0,0,0,1,1,0,1,-37.75287,144.97743,11204.0,48.0,2017,7,29,5,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,2.3,2.0,1.0,1.0,0.0,126.0,0,1,0,0,0,0,-37.7988,144.9475,6821.0,48.0,2016,8,10,2,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,1,6,0,0,0,0,0,1,1,0,0,12.4,6.0,3.0,2.0,1054.0,235.0,0,0,1,1,1,0,-37.77404,145.11703,5420.0,48.0,2017,7,29,5,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,9.2,3.0,2.0,2.0,217.0,163.0,0,0,0,1,1,1,-37.8639,145.0641,10412.0,12.0,2017,4,3,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0,1,7.5,2.0,1.0,2.0,326.0,113.0,0,0,0,1,1,1,-37.8373,145.0455,6482.0,78.0,2016,8,22,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,1,4.6,2.0,1.0,1.0,0.0,126.0,0,0,0,1,1,1,-37.8287,145.035,11308.0,11.0,2016,6,8,2,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,8.4,3.0,1.0,3.0,752.0,126.0,0,0,0,1,0,1,-37.8481,144.8721,5498.0,48.0,2017,4,29,5,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,0,0,1,1,5.4,4.0,3.0,2.0,481.0,126.0,0,0,1,1,0,1,-37.81027,145.04476,10331.0,48.0,2017,9,16,5,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,1,3,0,0,1,0,0,0,1,1,1,8.0,3.0,1.0,0.0,300.0,145.0,0,0,0,0,1,0,-37.7548,144.9315,9264.0,118.0,2016,7,26,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4.6,1.0,1.0,1.0,3132.0,126.0,0,0,0,1,1,1,-37.8276,145.0342,11308.0,48.0,2016,10,9,6,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,6.6,2.0,1.0,1.0,176.0,126.0,0,0,1,0,1,1,-37.8052,144.8883,2417.0,48.0,2016,10,15,5,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,3,0,0,0,0,1,0,0,1,1,14.6,3.0,1.0,2.0,313.0,126.0,0,1,0,0,0,1,-37.9449,145.0459,2555.0,48.0,2016,7,11,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,1,1,0,1,2,0,0,0,0,1,1,1,0,0,6.1,2.0,1.0,1.0,0.0,83.0,0,0,0,0,1,1,-37.8604,144.9817,13240.0,48.0,2016,8,13,5,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,1,0,3,0,0,0,1,1,1,1,1,1,21.3,3.0,1.0,2.0,693.0,129.0,0,1,0,1,0,1,-37.82536,145.24893,3794.0,68.0,2017,7,22,5,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,3,0,0,0,0,0,1,0,0,1,4.6,3.0,1.0,0.0,218.0,108.0,0,0,0,1,1,1,-37.8214,145.0437,11308.0,128.0,2016,7,5,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,4,0,0,0,1,0,1,0,1,0,11.2,3.0,2.0,1.0,549.0,195.0,0,0,1,1,0,0,-37.8869,144.9982,10579.0,28.0,2016,7,30,5,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,1,1,1,2,0,0,0,0,0,1,1,0,0,9.5,2.0,1.0,0.0,693.0,126.0,0,0,1,1,1,1,-37.7534,145.0454,790.0,48.0,2017,3,18,5,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,8.8,3.0,2.0,2.0,242.0,103.6,0,0,0,1,0,0,-37.7506,145.0185,14577.0,48.0,2017,5,13,5,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,10.2,2.0,1.0,2.0,140.0,126.0,0,0,1,0,1,0,-37.82413,145.10424,5457.0,48.0,2017,8,7,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3.3,1.0,1.0,1.0,0.0,64.0,0,0,0,0,1,1,-37.8487,144.9511,3280.0,130.0,2017,8,4,4,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,13.9,3.0,1.0,1.0,679.0,126.0,0,0,1,1,1,0,-37.7915,145.1224,9028.0,58.0,2016,5,14,5,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,1,1,5.6,2.0,1.0,1.0,124.0,86.0,0,0,0,1,1,1,-37.7938,145.0321,10331.0,26.0,2016,7,26,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,1,1,1,1,1,3,0,0,1,0,1,0,0,1,0,6.4,3.0,1.0,1.0,160.0,126.0,0,0,1,1,0,1,-37.79219000000001,144.87575,5058.0,48.0,2017,8,19,5,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,4,0,0,0,1,1,1,0,1,1,11.2,4.0,2.0,1.0,655.0,82.0,0,0,1,1,0,1,-37.69558,144.93223,8870.0,68.0,2017,8,7,0,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,0,1,3,0,0,0,0,1,0,0,1,1,5.5,3.0,1.0,2.0,380.0,126.0,0,0,0,1,0,0,-37.7709,145.0105,11364.0,48.0,2016,5,14,5,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0,1,1,0,0,0,3,0,0,0,0,1,0,1,0,1,14.7,3.0,2.0,2.0,673.0,126.0,0,0,1,1,0,1,-37.86345,145.22871,5424.0,48.0,2017,9,16,5,1,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,1,1,0,4,0,0,1,1,0,1,1,1,0,16.1,4.0,2.0,2.0,789.0,169.0,0,0,1,1,1,1,-37.69646,145.12163,8524.0,43.0,2017,7,29,5,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2.8,1.0,1.0,1.0,0.0,126.0,0,1,0,0,0,0,-37.8106,144.9646,17496.0,13.0,2016,8,13,5,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3.3,1.0,1.0,1.0,0.0,126.0,0,0,0,1,1,0,-37.8361,144.9966,14887.0,18.0,2016,4,6,2,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,1,1,0,0,1,4,0,0,0,0,1,1,0,1,1,9.0,4.0,2.0,2.0,1004.0,247.0,0,0,1,1,1,1,-37.7689,145.0665,1554.0,83.0,2016,12,11,6,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,1,2.4,4.0,1.0,0.0,244.0,126.0,0,0,0,0,0,1,-37.82503,144.99967,14949.0,48.0,2017,3,6,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,1,7.3,2.0,2.0,1.0,704.0,126.0,0,0,1,1,0,1,-37.85698,145.04686,10412.0,48.0,2017,9,9,5,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,1,0,1,1,11.2,3.0,1.0,1.0,659.0,161.0,0,0,1,1,0,0,-37.919,144.9953,10579.0,76.0,2016,11,27,6,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,8.0,3.0,3.0,2.0,515.0,286.0,0,0,0,1,0,1,-37.8609,144.8947,6380.0,28.0,2017,4,3,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,1,0,3,0,0,0,0,1,1,1,1,1,8.4,3.0,1.0,6.0,761.0,126.0,0,0,0,1,0,1,-37.8464,144.865,5498.0,48.0,2017,4,29,5,1,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,9.8,2.0,1.0,1.0,0.0,65.0,0,0,1,0,0,1,-37.8971,145.0093,534.0,48.0,2016,5,14,5,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,4,0,0,0,1,1,1,0,0,0,14.8,4.0,2.0,2.0,704.0,126.0,0,1,0,0,1,0,-37.7613,144.75988,6388.0,48.0,2017,5,27,5,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,1,6.3,2.0,1.0,2.0,0.0,63.0,0,0,0,1,1,0,-37.85549,145.0163,4836.0,58.0,2017,7,22,5,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,1,1,1,0,1,4,0,0,0,1,0,1,1,1,0,12.1,3.0,2.0,1.0,690.0,126.0,0,0,1,0,0,1,-37.8885,145.0726,4442.0,48.0,2016,9,24,5,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,3.4,2.0,1.0,1.0,185.0,84.0,0,0,0,0,0,1,-37.7927,144.9981,2954.0,108.0,2016,8,10,2,1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,2.8,3.0,2.0,1.0,0.0,122.0,0,1,0,0,0,0,-37.8095,144.9691,17496.0,20.0,2016,10,15,5,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,1,5.2,2.0,1.0,1.0,0.0,126.0,0,0,1,1,0,1,-37.7671,144.9702,11918.0,48.0,2016,5,22,6,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,1,4,0,0,0,0,0,0,0,1,1,3.6,4.0,3.0,1.0,248.0,173.0,0,0,1,1,0,1,-37.7833,144.98521000000005,6244.0,128.0,2017,8,26,5,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,6.7,4.0,2.0,2.0,604.0,126.0,0,0,1,1,0,1,-37.73975,144.9651,11204.0,48.0,2017,3,6,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,9.2,3.0,1.0,1.0,215.0,126.0,0,0,0,1,1,1,-37.85,145.05700000000004,10412.0,48.0,2016,8,10,2,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,1,1,7.5,3.0,2.0,4.0,611.0,160.0,0,0,0,1,1,1,-37.7997,145.058,2671.0,88.0,2016,9,17,5,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,1,0,0,0,5,0,0,0,1,0,1,1,0,1,14.7,5.0,2.0,2.0,577.0,126.0,0,0,1,0,1,0,-37.85919000000001,145.15851999999995,4048.0,48.0,2017,6,17,5,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0,11.5,2.0,1.0,1.0,118.0,113.0,0,0,1,1,0,1,-37.7232,144.9154,2651.0,8.0,2016,10,15,5,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,1,1,2,0,0,0,1,1,1,0,1,0,11.8,2.0,1.0,0.0,359.0,126.0,0,0,1,1,1,0,-37.7609,145.0869,4480.0,48.0,2017,2,25,5,1,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,4,0,0,0,0,1,0,0,1,1,14.7,4.0,2.0,2.0,416.0,182.9,0,1,1,1,1,0,-37.89279000000001,144.73158,15542.0,12.0,2017,7,15,5,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,11.2,2.0,1.0,1.0,101.0,67.0,0,0,0,1,0,0,-37.7091,145.0259,21650.0,38.0,2017,5,20,5,1,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,3,0,0,0,1,0,1,0,1,1,22.2,3.0,2.0,4.0,801.0,150.0,0,1,0,0,0,1,-37.98596,145.13187,3940.0,38.0,2017,7,15,5,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,0,1,1,0,2.8,2.0,2.0,1.0,0.0,85.0,0,1,0,0,0,0,-37.8095,144.9691,17496.0,21.0,2016,4,6,2,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,1,0,2,0,0,0,0,1,1,0,1,1,13.8,2.0,1.0,1.0,177.0,100.0,0,0,1,1,1,1,-37.7388,145.08100000000005,2698.0,43.0,2016,12,11,6,0,0,1,1,0,0,0,0,0,0,0
