Suburb_0,Suburb_1,Suburb_2,Suburb_3,Suburb_4,Suburb_5,Suburb_6,Suburb_7,Suburb_8,Rooms,SellerG_0,SellerG_1,SellerG_2,SellerG_3,SellerG_4,SellerG_5,SellerG_6,SellerG_7,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea_0,CouncilArea_1,CouncilArea_2,CouncilArea_3,CouncilArea_4,Lattitude,Longtitude,Propertycount,BuildingAge,Year_Sold,Month_Sold,Day_Sold,DayOfWeek_Sold,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan
0,0,0,1,0,1,1,0,0,-0.9779398424485164,0,0,0,0,0,0,1,0,-1.672473602888451,-0.9418672087739155,-0.7718264695993994,-0.630281012904881,-0.8285860019687967,-0.14626900388150071,0,0,0,0,1,0.12572879470399215,-0.20982900224047832,-0.3711018401829735,-0.1192563541550853,2016,6,18,5,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,1,0,1,1,-2.025789195029481,0,0,0,0,1,0,0,0,-0.9494188361150065,-1.9779603583797833,-0.7718264695993994,-0.630281012904881,0.39847350011777,-0.14626900388150071,0,0,1,1,0,-0.6575852442862422,0.018976825934074282,-0.7021501346800877,-0.1192563541550853,2016,11,19,5,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,0.06990951013244814,0,0,0,1,0,1,0,1,1.0131583879843427,0.09422594083195236,-0.7718264695993994,1.4727121867685884,0.6229992813506311,0.1839660297006475,1,0,0,0,1,-1.7924218378762826,0.533531109203925,-1.120256112159142,0.22261768462758072,2016,3,9,2,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,1,-0.9779398424485164,0,0,1,0,1,0,1,0,-0.24702277696366043,-0.9418672087739155,-0.7718264695993994,-1.6817776127416157,-0.8285860019687967,-0.14626900388150071,0,1,0,0,1,-1.1184396170489812,0.08730797823943967,-0.5834767668257589,-0.1192563541550853,2016,5,28,5,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0,1.1177588627134127,0,0,0,0,1,0,0,1,-0.8461252980045144,1.1303190904378202,0.6853631506001456,0.4212155869318536,0.4193596193022222,1.6883700715748782,0,0,1,1,1,-0.0029782823739457403,0.47555316179308005,0.6612190006502421,2.6157359561062425,2017,3,18,5,1,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,1,1,0,0.06990951013244814,0,1,0,1,0,0,0,1,0.5586668202981777,0.09422594083195236,-0.7718264695993994,1.4727121867685884,0.19309332813732338,0.055541294418700954,0,1,1,0,1,1.4861487599467,-0.33820874293541614,-0.5440717103181438,-0.1192563541550853,2016,3,12,5,1,0,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,1,-2.025789195029481,0,0,0,1,0,0,1,1,-1.569180064777959,-1.9779603583797833,-0.7718264695993994,-0.630281012904881,-0.8285860019687967,-1.6690194365102953,0,0,0,1,1,-0.36418846643125424,-0.3910100878987065,-0.3440681386254237,-0.1192563541550853,2017,8,4,4,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,1,1,0.06990951013244814,0,1,0,1,0,0,1,1,0.3107623288329966,0.09422594083195236,-0.7718264695993994,0.4212155869318536,-0.23681262507598438,0.07388768517326474,0,1,1,0,0,-1.555766889700713,0.05003644061822427,0.7180355937542451,-0.29019337354641833,2017,4,3,0,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,-2.025789195029481,0,1,1,1,1,0,0,0,-0.3503163150741525,-1.9779603583797833,-0.7718264695993994,-0.630281012904881,-0.8285860019687967,-1.5405947012283487,0,0,0,1,0,0.8384615333611067,-0.7916791173261835,0.4167701908035841,0.22261768462758072,2016,4,16,5,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,1,0,1,-2.025789195029481,0,0,1,0,1,0,1,1,0.3107623288329966,-1.9779603583797833,-0.7718264695993994,-0.630281012904881,-0.6406109293087269,-0.14626900388150071,0,0,1,0,0,1.224582764594822,0.13803868222370824,3.2543924576833465,-0.1192563541550853,2017,5,20,5,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,1,0.06990951013244814,0,0,0,1,0,0,1,1,-0.39163373031834936,0.09422594083195236,0.6853631506001456,0.4212155869318536,-0.2751038435808134,-0.14626900388150071,0,0,1,1,1,-0.5067350141626968,0.9911427655524416,0.33796007778835413,-0.1192563541550853,2016,6,18,5,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0.06990951013244814,0,0,0,0,1,0,1,0,-0.3503163150741525,0.09422594083195236,-0.7718264695993994,-1.6817776127416157,-0.06624265173629143,-0.14626900388150071,0,0,0,1,0,0.7485049741131786,-0.7233479650202296,0.4167701908035841,-0.1192563541550853,2016,4,16,5,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,1,1,0,-0.9779398424485164,0,0,1,0,1,1,0,1,-0.8461252980045144,-1.9779603583797833,-0.7718264695993994,-0.630281012904881,-0.8285860019687967,-1.5039019197192212,0,0,1,1,1,0.11604116524648969,0.35752662599266277,0.6612190006502421,-0.1192563541550853,2016,5,14,5,0,0,1,0,0,0,0,0,1,0
